id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
0; twittazo;manifestar;manifestaciones;protestas;CONFLICTO;
99999999; twitazo;manifestar;manifestaciones;protestas;CONFLICTO;
77777777; semaforazo;manifestar;manifestaciones;protestas;CONFLICTO;
66666666; ladrillazo;manifestar;manifestaciones;protestas;CONFLICTO;
55555555; tractorazo;manifestar;manifestaciones;protestas;CONFLICTO;
44444444; banderazo;manifestar;manifestaciones;protestas;CONFLICTO;
33333333; camionetazo;manifestar;manifestaciones;protestas;CONFLICTO;
1; imput;imputar;justicia;represiones;CONFLICTO;
2; acampando;acampar;acampes;ocupaciones;CONFLICTO;
3; acampar;acampar;acampes;ocupaciones;CONFLICTO;
4; acampe;acampar;acampes;ocupaciones;CONFLICTO;
5; acciones de violencia;violencia;violencia;ataques;CONFLICTO;
6; acciones violentas;violencia;violencia;ataques;CONFLICTO;
7; actos violentos;violencia;violencia;ataques;CONFLICTO;
8; adviert;advertir;advertir;anuncios;CONFLICTO;
9; advert;advertir;advertir;anuncios;CONFLICTO;
10; advirt;advertir;advertir;anuncios;CONFLICTO;
11; agredi;agredir;agresiones;ataques;CONFLICTO;
12; agredie;agredir;agresiones;ataques;CONFLICTO;
13; agredir;agredir;agresiones;ataques;CONFLICTO;
14; agresión;agredir;agresiones;ataques;CONFLICTO;
15; agresion;agredir;agresiones;ataques;CONFLICTO;
16; agresiones;agredir;agresiones;ataques;CONFLICTO;
17; alerta de;alertar;estados de alertas;est_alertas;CONFLICTO;
18; alertan;alertar;estados de alertas;est_alertas;CONFLICTO;
19; amenaz;amenazar;amenazas;amenazas;CONFLICTO;
20; apalea;apalear;apaleos;ataques;CONFLICTO;
21; apaleó;apalear;apaleos;ataques;CONFLICTO;
22; apaleo;apalear;apaleos;ataques;CONFLICTO;
23; apedre;apedrear;apedreos;ataques;CONFLICTO;
24; asamblea;reunión;reuniones;reuniones;CONFLICTO;
25; ataca;atacar;ataques;ataques;CONFLICTO;
26; ataque;atacar;ataques;ataques;CONFLICTO;
27; banca 25;manifestar;manifestaciones;manif_call;CONFLICTO;
28; banca abierta;manifestar;manifestaciones;manif_call;CONFLICTO;
29; barricada;obstruir;barricadas;bloqueos;CONFLICTO;
30; batalla;batallar;batallas;enfrentamientos;CONFLICTO;
31; bloquea;bloquear;bloqueos;bloqueos;CONFLICTO;
32; bloqueo;bloquear;bloqueos;bloqueos;CONFLICTO;
33; bloqueó;bloquear;bloqueos;bloqueos;CONFLICTO;
34; bocinazo;manifestar;manifestaciones;manif_call;CONFLICTO;
35; caravana;manifestar;manifestaciones;manif_call;CONFLICTO;
36; besazo;manifestar;manifestaciones;manif_call;CONFLICTO;
37; tetazo;manifestar;manifestaciones;manif_call;CONFLICTO;
38; boicot;boicotear;boicots;sabotajes;CONFLICTO;
39; bronca;genérico;genérico;protestas;CONFLICTO;
40; cacerolazo;manifestar;manifestaciones;manif_call;CONFLICTO;
41; tarifazo;manifestar;manifestaciones;manif_call;CONFLICTO;
42; calle cortada;cortar;cortes;cortes;CONFLICTO;
43; calles cortada;cortar;cortes;cortes;CONFLICTO;
44; carner;carnerear;carnereadas;carnereadas;CONFLICTO;
45; conciliación obligatoria;conciliar;conciliaciones;concil_obl;CONFLICTO;
46; conciliacion obligatoria;conciliar;conciliaciones;concil_obl;CONFLICTO;
47; conciliación no obligatoria;conciliar;conciliaciones;concil_obl;CONFLICTO;
48; conciliacion no obligatoria;conciliar;conciliaciones;concil_obl;CONFLICTO;
49; conferencia de prensa;comunicar;comunicados de prensa;comunicados;CONFLICTO;
50; rueda de prensa;comunicar;comunicados de prensa;comunicados;CONFLICTO;
51; continua la ocupación;ocupar;ocupaciones;ocupaciones;CONFLICTO;
52; continua la toma;tomar;tomas;ocupaciones;CONFLICTO;
53; continúa la ocupación;ocupar;ocupaciones;ocupaciones;CONFLICTO;
54; continúa la toma;tomar;tomas;ocupaciones;CONFLICTO;
55; continua el acampe;acampar;acampes;ocupaciones;CONFLICTO;
56; continúa el acampe;acampar;acampes;ocupaciones;CONFLICTO;
57; continua la usurp;usurpar;usurpación;ocupaciones;CONFLICTO;
58; continúa la usurp;usurpar;usurpación;ocupaciones;CONFLICTO;
59; cortarán el acceso;cortar;cortes;anuncios;CONFLICTO;
60; cortarán el puerto;cortar;cortes;anuncios;CONFLICTO;
61; cortarán el tránsito;cortar;cortes;anuncios;CONFLICTO;
62; cortarán la avenida;cortar;cortes;anuncios;CONFLICTO;
63; cortarán la calle;cortar;cortes;anuncios;CONFLICTO;
64; cortarán la intersección;cortar;cortes;anuncios;CONFLICTO;
65; cortarán la ruta;cortar;cortes;anuncios;CONFLICTO;
66; cortarán las avenidas;cortar;cortes;anuncios;CONFLICTO;
67; cortarán las calles;cortar;cortes;anuncios;CONFLICTO;
68; cortarán las intersecciones;cortar;cortes;anuncios;CONFLICTO;
69; cortarán las rutas;cortar;cortes;anuncios;CONFLICTO;
70; cortarán los accesos;cortar;cortes;anuncios;CONFLICTO;
71; cortaran el acceso;cortar;cortes;anuncios;CONFLICTO;
