id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
5125; a mano armada;inseguridad;inseguridad;inseguridad;PROBLEMÁTICA;
5126; abandonado;abandono;mantenimiento;mantenimiento;PROBLEMÁTICA;
5127; aborto;;;violencia_genero;PROBLEMÁTICA;
5128; abuso sexual ;abuso;violencia de género;violencia_genero;PROBLEMÁTICA;
5129; accesos a la playa;playas;espacios públicos;espacios_publicos;PROBLEMÁTICA;
5130; acoso sexual;acoso;género;violencia_genero;PROBLEMÁTICA;
5131; adolecente abusada;violencia de género;violencia de género;violencia_genero;PROBLEMÁTICA;
5132; adolecente desaparecida;violencia de género;violencia de género;violencia_genero;PROBLEMÁTICA;
5133; adolecente golpeada;violencia de género;violencia de género;violencia_genero;PROBLEMÁTICA;
5134; adolecente violada;violencia de género;violencia de género;violencia_genero;PROBLEMÁTICA;
5135; agrot;contaminación;contaminación;medioambiente;PROBLEMÁTICA;
5136; agua + trabajo;agua;agua;infraestructura;PROBLEMÁTICA;
5137; agua contaminada;agua;agua;infraestructura;PROBLEMÁTICA;
5138; agua corriente;agua;agua;infraestructura;PROBLEMÁTICA;
5139; agua de perforaciones;agua;agua;infraestructura;PROBLEMÁTICA;
5140; agua potable;agua;agua;infraestructura;PROBLEMÁTICA;
5141; agua subterránea;agua;agua;infraestructura;PROBLEMÁTICA;
5142; agua y cloaca más trabajo;agua;agua;infraestructura;PROBLEMÁTICA;
5143; agua más trabajo;agua;agua;infraestructura;PROBLEMÁTICA;
5144; aguas subterráneas;agua;agua;infraestructura;PROBLEMÁTICA;
5145; ajuste de cuent;inseguridad;inseguridad;inseguridad;PROBLEMÁTICA;
5146; aliment;alimentos;alimentos;alimentacion;PROBLEMÁTICA;
5147; allanamiento;policía;inseguridad;inseguridad;PROBLEMÁTICA;
5148; alumbrado;alumbrado;electricidad;infraestructura;PROBLEMÁTICA;
5149; ampliación de las frecuencias;transporte público;transporte;transporte;PROBLEMÁTICA;
5150; amplíe su frecuencia;transporte público;transporte;transporte;PROBLEMÁTICA;
5151; amplie su frecuencia;transporte público;transporte;transporte;PROBLEMÁTICA;
5152; anega;inundación;mantenimiento;mantenimiento;PROBLEMÁTICA;
5153; antipánico;violencia de género;violencia de género;violencia_genero;PROBLEMÁTICA;
5154; antipanico;violencia de género;violencia de género;violencia_genero;PROBLEMÁTICA;
