id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
5519; Empleados Fiscales;Empleados Fiscales;;adm_pub;RAMAS;
5520; Personal de los Organismos de Control;Personal de los Organismos de Control;;adm_pub;RAMAS;
5521; Profesionales del INIDEP;Profesionales del INIDEP;;adm_pub;RAMAS;
5522; trabajadores del estado;trabajadores del estado;;adm_pub;RAMAS;
5523; Trabajadores del Estado;Trabajadores del Estado;;adm_pub;RAMAS;
5524; Personal de los Organismos de Previsión Social;Personal de los Organismos de Previsión Social;;adm_pub;RAMAS;
5525; Personal del INTA;Personal del INTA;;adm_pub;RAMAS;
5526; Asociación Judicial Bonaerense;Asociación Judicial Bonaerense;;adm_pub;RAMAS;
5527; trabajadores judiciales;trabajadores judiciales;;adm_pub;RAMAS;
5528; trabajadores de la justicia;trabajadores de la justicia;;adm_pub;RAMAS;
5529; Empleados Municipales;Empleados Municipales;;adm_pub;RAMAS;
5530; Trabajadores Municipales;Trabajadores Municipales;;adm_pub;RAMAS;
5531; empleados municipales;empleados municipales;;adm_pub;RAMAS;
5532; trabajadores municipales;trabajadores municipales;;adm_pub;RAMAS;
5533; Frente de Unidad Docente;Frente de Unidad Docente;;adm_pub;RAMAS;
5534; Frente Docente;Frente Docente;;adm_pub;RAMAS;
5535; docentes;docentes;;adm_pub;RAMAS;
5536; trabajadores de la educación;trabajadores de la educación;;adm_pub;RAMAS;
5537; Gremio de Arba y el Ministerio de Economía (AERI);Gremio de Arba y el Ministerio de Economía (AERI);;adm_pub;RAMAS;
5538; Empleados de ANSES;Empleados de ANSES;;adm_pub;RAMAS;
5539; Personal Aduanero;Personal Aduanero;;adm_pub;RAMAS;
5540; Personal Civil de la Nación;Personal Civil de la Nación;;adm_pub;RAMAS;
5541; AEFIP;AEFIP;;adm_pub;RAMAS;
5542; APOC;APOC;;adm_pub;RAMAS;
5543; APINIDEP;APINIDEP;;adm_pub;RAMAS;
5544; ATE;ATE;;adm_pub;RAMAS;
5545; APOPS;APOPS;;adm_pub;RAMAS;
5546; APINTA;APINTA;;adm_pub;RAMAS;
5547; AJB;AJB;;adm_pub;RAMAS;
5548; ASEMGP;ASEMGP;;adm_pub;RAMAS;
5549; CTM;CTM;;adm_pub;RAMAS;
5550; FESIMUBO;FESIMUBO;;adm_pub;RAMAS;
5551; FUDB;FUDB;;adm_pub;RAMAS;
5552; AERI;AERI;;adm_pub;RAMAS;
5553; SECASFPI;SECASFPI;;adm_pub;RAMAS;
5554; STM;STM;;adm_pub;RAMAS;
5555; SUPARA;SUPARA;;adm_pub;RAMAS;
5556; UPCN;UPCN;;adm_pub;RAMAS;
5557; Industria Lechera;Industria Lechera;;alimentación_y_afines;RAMAS;
5558; industria lechera;industria lechera;;alimentación_y_afines;RAMAS;
5559; Trabajadores de Actividad en la Repostería;Trabajadores de Actividad en la Repostería;;alimentación_y_afines;RAMAS;
5560; Industria Fideera;Industria Fideera;;alimentación_y_afines;RAMAS;
5561; Industria de la Carne;Industria de la Carne;;alimentación_y_afines;RAMAS;
5562; industria fideera;industria fideera;;alimentación_y_afines;RAMAS;
5563; industria de la carne;industria de la carne;;alimentación_y_afines;RAMAS;
5564; Faenadores y Procesadores de Aves;Faenadores y Procesadores de Aves;;alimentación_y_afines;RAMAS;
5565; Panaderos;Panaderos;;alimentación_y_afines;RAMAS;
5566; Vitivinícolas y Afines;Vitivinícolas y Afines;;alimentación_y_afines;RAMAS;
5567; trabajadores vitivinícolas;trabajadores vitivinícolas;;alimentación_y_afines;RAMAS;
5568; Industrias de la Alimentación;Industrias de la Alimentación;;alimentación_y_afines;RAMAS;
5569; Industria de la Alimentación;Industria de la Alimentación;;alimentación_y_afines;RAMAS;
5570; industria de la alimentación;industria de la alimentación;;alimentación_y_afines;RAMAS;
5571; Alfajoreros;Alfajoreros;;alimentación_y_afines;RAMAS;
5572; Reposteros;Reposteros;;alimentación_y_afines;RAMAS;
5573; Pizzeros;Pizzeros;;alimentación_y_afines;RAMAS;
5574; Heladeros;Heladeros;;alimentación_y_afines;RAMAS;
5575; Aguas Gaseosas;Aguas Gaseosas;;alimentación_y_afines;RAMAS;
5576; ATILRA;ATILRA;;alimentación_y_afines;RAMAS;
5577; AMTAR;AMTAR;;alimentación_y_afines;RAMAS;
5578; SATIF;SATIF;;alimentación_y_afines;RAMAS;
5579; SEOIC;SEOIC;;alimentación_y_afines;RAMAS;
5580; STPFPA;STPFPA;;alimentación_y_afines;RAMAS;
5581; SOEPMPZA;SOEPMPZA;;alimentación_y_afines;RAMAS;
5582; SOEVA;SOEVA;;alimentación_y_afines;RAMAS;
5583; STIABA;STIABA;;alimentación_y_afines;RAMAS;
5584; STARPYH;STARPYH;;alimentación_y_afines;RAMAS;
5585; SUTIAGA;SUTIAGA;;alimentación_y_afines;RAMAS;
5586; Empleados de Farmacia;Empleados de Farmacia;;comercio_y_afines;RAMAS;
5587; Empleados de Comercio;Empleados de Comercio;;comercio_y_afines;RAMAS;
5588; Peluqueros, Peinadores;Peluqueros, Peinadores;;comercio_y_afines;RAMAS;
5589; Vendedores Ambulantes;Vendedores Ambulantes;;comercio_y_afines;RAMAS;
5590; Vendedores de Diarios;Vendedores de Diarios;;comercio_y_afines;RAMAS;
5591; Personal de Reposición;Personal de Reposición;;comercio_y_afines;RAMAS;
5592; Obreros de Estaciones de Servicio;Obreros de Estaciones de Servicio;;comercio_y_afines;RAMAS;
5593; Unión Viajantes;Unión Viajantes;;comercio_y_afines;RAMAS;
5594; CEFAMAR;CEFAMAR;;comercio_y_afines;RAMAS;
5595; SEC;SEC;;comercio_y_afines;RAMAS;
5596; SPPA;SPPA;;comercio_y_afines;RAMAS;
5597; SIVARA;SIVARA;;comercio_y_afines;RAMAS;
5598; PLACOSUR;PLACOSUR;;comercio_y_afines;RAMAS;
5599; SVDyR;SVDyR;;comercio_y_afines;RAMAS;
5600; SIPRE;SIPRE;;comercio_y_afines;RAMAS;
5601; SOESGYPE;SOESGYPE;;comercio_y_afines;RAMAS;
5602; UVVA;UVVA;;comercio_y_afines;RAMAS;
5603; Empleados del Ministerio de Obras;Empleados del Ministerio de Obras;;construcción_y_afines;RAMAS;
5604; Industria Maderera;Industria Maderera;;construcción_y_afines;RAMAS;
5605; industria maderera;industria maderera;;construcción_y_afines;RAMAS;
5606; Empleados Ceramistas;Empleados Ceramistas;;construcción_y_afines;RAMAS;
5607; Trabajadores de Obras Sanitarias;Trabajadores de Obras Sanitarias;;construcción_y_afines;RAMAS;
5608; trabajadores de obras sanitarias;trabajadores de obras sanitarias;;construcción_y_afines;RAMAS;
5609; Unión Obrera Ladrillera;Unión Obrera Ladrillera;;construcción_y_afines;RAMAS;
5610; Obreros de la Construcción;Obreros de la Construcción;;construcción_y_afines;RAMAS;
5611; trabajadores de la construcción;trabajadores de la construcción;;construcción_y_afines;RAMAS;
5612; AEMOPBA;AEMOPBA;;construcción_y_afines;RAMAS;
5613; SOIM;SOIM;;construcción_y_afines;RAMAS;
5614; SOCRA;SOCRA;;construcción_y_afines;RAMAS;
5615; SITOS;SITOS;;construcción_y_afines;RAMAS;
5616; UOLRA;UOLRA;;construcción_y_afines;RAMAS;
5617; UOCRA;UOCRA;;construcción_y_afines;RAMAS;
5618; Agremiación Docente;Agremiación Docente;;educación;RAMAS;
5619; Magisterio;Magisterio;;educación;RAMAS;
5620; Personal de la Universidad;Personal de la Universidad;;educación;RAMAS;
5621; Docentes de la Universidad;Docentes de la Universidad;;educación;RAMAS;
5622; Circulo Educadores;Circulo Educadores;;educación;RAMAS;
5623; Trabajadores de la Educación;Trabajadores de la Educación;;educación;RAMAS;
5624; trabajadores de la educación;trabajadores de la educación;;educación;RAMAS;
5625; Docentes Universitarios;Docentes Universitarios;;educación;RAMAS;
5626; docentes universitarios;docentes universitarios;;educación;RAMAS;
5627; Docentes Privados;Docentes Privados;;educación;RAMAS;
5628; Minoridad y la Educación;Minoridad y la Educación;;educación;RAMAS;
5629; Trabajadores  de la Universidad;Trabajadores  de la Universidad;;educación;RAMAS;
5630; Trabajadores de la Educación;Trabajadores de la Educación;;educación;RAMAS;
5631; Tribuna Docente;Tribuna Docente;;educación;RAMAS;
5632; Docentes Argentinos;Docentes Argentinos;;educación;RAMAS;
5633; Docentes de la Provincia;Docentes de la Provincia;;educación;RAMAS;
