id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
6969; adolescentes;otros;otros;otros;SUJETOS;
6970; afiliad;;;indefinido;SUJETOS;
6971; Agremiación Docente; Agremiación Docente;sindicatos;trabajadorxs;SUJETOS;
6972; agrupaciones;;;indefinido;SUJETOS;
6973; alumn;estudiantes;estudiantes;estudiantes;SUJETOS;
6974; Asociación Argentina de Actores; Asociación Argentina de Actores;sindicatos;trabajadorxs;SUJETOS;
6975; Asociación Argentina de Capitanes; Asociación Argentina de Capitanes;sindicatos;trabajadorxs;SUJETOS;
6976; Asociación Bancaria; Asociación Bancaria;sindicatos;trabajadorxs;SUJETOS;
6977; Asociación de Buzos Profesionales; Asociación de Buzos Profesionales;sindicatos;trabajadorxs;SUJETOS;
6978; Asociación de Emplead; Asociación de Emplead;sindicatos;trabajadorxs;SUJETOS;
6979; Asociación de Fomento;activismo barrial;activismo barrial;soc_fomento;SUJETOS;
6980; Asociación de Marineros; Asociación de Marineros;sindicatos;trabajadorxs;SUJETOS;
6981; Asociación de Personal; Asociación de Personal;sindicatos;trabajadorxs;SUJETOS;
6982; Asociación de Profecionales del INIDEP; Asociación de Profecionales del INIDEP;sindicatos;trabajadorxs;SUJETOS;
6983; Asociación de Supervisores de la Industria; Asociación de Supervisores de la Industria;sindicatos;trabajadorxs;SUJETOS;
6984; Asociación de Trabajadores; Asociación de Trabajadores;sindicatos;trabajadorxs;SUJETOS;
6985; Asociación del Magisterio; Asociación del Magisterio;sindicatos;trabajadorxs;SUJETOS;
6986; Asociación del Personal; Asociación del Personal;sindicatos;trabajadorxs;SUJETOS;
6987; Asociación Gremial; Asociación Gremial;sindicatos;trabajadorxs;SUJETOS;
6988; Asociación Judicial Bonaerense; Asociación Judicial Bonaerense;sindicatos;trabajadorxs;SUJETOS;
6989; Asociación Marplatense de Enfermería; Asociación Marplatense de Enfermería;sindicatos;trabajadorxs;SUJETOS;
6990; Asociación Mutual de Trabajadores; Asociación Mutual de Trabajadores;sindicatos;trabajadorxs;SUJETOS;
6991; Asociación Profesional de Policías; Asociación Profesional de Policías;sindicatos;trabajadorxs;SUJETOS;
6992; Asociación Sindical; Asociación Sindical;sindicatos;trabajadorxs;SUJETOS;
6993; ATE;ATE;sindicatos;trabajadorxs;SUJETOS;
6994; autoconvocad;autoconvocadxs;autoconvocadxs;autoconvocadxs;SUJETOS;
6995; barrial;barrial;barrial;vecinxs;SUJETOS;
6996; barrio;barrial;barrial;vecinxs;SUJETOS;
6997; bomberos voluntarios;resto;resto;resto;SUJETOS;
6998; Cámara;empresarixs;empresarixs;empresarixs;SUJETOS;
6999; carrero;carrero;sindicatos;trabajadorxs;SUJETOS;
7000; cartonero;cartonero;sindicatos;trabajadorxs;SUJETOS;
7001; Central de Trabajadores; Central de Trabajadores;sindicatos;trabajadorxs;SUJETOS;
7002; Centro de Emplead; Centro de Emplead;sindicatos;trabajadorxs;SUJETOS;
7003; Centro de Patrones y Oficiales; Centro de Patrones y Oficiales;sindicatos;trabajadorxs;SUJETOS;
7004; CEPA;empresarixs;empresarixs;empresarixs;SUJETOS;
7005; CGT;CGT;sindicatos;trabajadorxs;SUJETOS;
7006; Círculo Educadores Marplatenses; Círculo Educadores Marplatenses;sindicatos;trabajadorxs;SUJETOS;
7007; ciudadan;;;indefinido;SUJETOS;
7008; clientes;usuarixs;usuarixs;usuarixs;SUJETOS;
7009; comerciantes;empresarixs;empresarixs;empresarixs;SUJETOS;
7010; Común Unidad de Recuperadores Argentinos; Común Unidad de Recuperadores Argentinos;sindicatos;trabajadorxs;SUJETOS;
7011; Confederación Argentina de Trabajadores; Confederación Argentina de Trabajadores;sindicatos;trabajadorxs;SUJETOS;
7012; Confederación de Educadores; Confederación de Educadores;sindicatos;trabajadorxs;SUJETOS;
7013; Confederación de Trabajador; Confederación de Trabajador;sindicatos;trabajadorxs;SUJETOS;
7014; Confederación General del Trabajo; Confederación General del Trabajo;sindicatos;trabajadorxs;SUJETOS;
7015; Confederación Nacional de Cooperativas de Trabajo; Confederación Nacional de Cooperativas de Trabajo;sindicatos;trabajadorxs;SUJETOS;
7016; CTA;CTA;sindicatos;trabajadorxs;SUJETOS;
7017; CTEP;CTEP;sindicatos;trabajadorxs;SUJETOS;
7018; de Fomento;activismo barrial;activismo barrial;soc_fomento;SUJETOS;
7019; delegad;delegado;delegado;delegado;SUJETOS;
7020; desemplead;desocupadxs;desocupadxs;trabajadorxs;SUJETOS;
7021; desocupados;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7022; docentes;docentes;docentes;trabajadorxs;SUJETOS;
7023; Docentes Argentinos; Docentes Argentinos;sindicatos;trabajadorxs;SUJETOS;
7024; empleadas;empleadxs;empleadxs;trabajadorxs;SUJETOS;
7025; empleados;empleadxs;empleadxs;trabajadorxs;SUJETOS;
7026; empresarios;empresarixs;empresarixs;empresarixs;SUJETOS;
7027; Espacio Sindical; Espacio Sindical;sindicatos;trabajadorxs;SUJETOS;
7028; estudiantes;estudiantes;estudiantes;estudiantes;SUJETOS;
7029; ex combatientes;resto;resto;resto;SUJETOS;
7030; excombatientes;resto;resto;resto;SUJETOS;
7031; ex-combatientes;resto;resto;resto;SUJETOS;
7032; familiares;resto;resto;resto;SUJETOS;
7033; Federación Argentina de Carreros;Federación Argentina de Carreros;sindicatos;trabajadorxs;SUJETOS;
7034; Federación de Sindicatos; Federación de Sindicatos;sindicatos;trabajadorxs;SUJETOS;
7035; Federación Nacional de Conductores de Taxis; Federación Nacional de Conductores de Taxis;sindicatos;trabajadorxs;SUJETOS;
7036; Federación Nacional de Docentes; Federación Nacional de Docentes;sindicatos;trabajadorxs;SUJETOS;
7037; Federación Sindical; Federación Sindical;sindicatos;trabajadorxs;SUJETOS;
7038; feminis;mujeres;mujeres;mujeres;SUJETOS;
7039; fileteras;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7040; fileteros;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7041; fomentismo;barrial;barrial;vecinxs;SUJETOS;
7042; Frente de Unidad Docente; Frente de Unidad Docente;sindicatos;trabajadorxs;SUJETOS;
7043; gay;resto;resto;resto;SUJETOS;
7044; graduad;graduadxs;graduadxs;graduadxs;SUJETOS;
7045; Gremio de Arba; Gremio de Arba;sindicatos;trabajadorxs;SUJETOS;
7046; huelguista;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7047; jóvenes;resto;resto;resto;SUJETOS;
7048; jubilados;resto;resto;resto;SUJETOS;
7049; juventud;resto;resto;resto;SUJETOS;
7050; LGBT;resto;resto;resto;SUJETOS;
7051; madres;resto;resto;resto;SUJETOS;
; bolivian;resto;resto;resto;SUJETOS;
; queer;resto;resto;resto;SUJETOS;
7052; manifestantes;manifestantes;manifestantes;manifestantes;SUJETOS;
7053; marineros;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7054; militante;militantxs;militantxs;militantxs;SUJETOS;
7055; motoque;motoquerxs;motoquerxs;trabajadorxs;SUJETOS;
7056; Movimiento de Trabajadores; Movimiento de Trabajadores;sindicatos;trabajadorxs;SUJETOS;
7057; movimientos sociales;org_sociales;org_sociales;org_sociales;SUJETOS;
7058; MTE;MTE;sindicatos;trabajadorxs;SUJETOS;
7059; mujeres;mujeres;mujeres;mujeres;SUJETOS;
7060; nazi;militantxs;militantxs;militantxs;SUJETOS;
7061; obrera;obrer;obrer;trabajadorxs;SUJETOS;
7062; Obrero;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7063; obreros;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7064; Organización Personal; Organización Personal;sindicatos;trabajadorxs;SUJETOS;
7065; organizaciones sociales;;org sociales;org_sociales;SUJETOS;
