barrios;nominaciones;agregar;obsevaciones
FRAY_LUIS_BELTRAN;Las Dalias|Alto Camet|Fray Beltrán|Beltrán|Fray Luis Beltrán|Luis Beltrán|Fray Beltran|Fray Luis Beltran|Luis Beltran;;
LAS_AMERICAS;Las Américas|Las Americas|las américas|las americas;;
LA_FLORIDA;La Florida;;
SAN_JACINTO;San Jacinto|Verde Mundo;;
PARQUE_INDEPENDENCIA;Parque Independencia;;
NUEVO_GOLF;Nuevo Golf;;
zona_sur;zona sur|zona Sur|Zona Sur|sur de la ciudad|sur de Mar del Plata;;
EL_JARDIN_DE_PERALTA_RAMOS;Jardín de Peralta Ramos;;
CAMET_FELIX_U.;Felix U. Camet|Felix Camet|Félix U. Camet|Félix Camet;;
BOSQUE_PERALTA_RAMOS;Bosque de Peralta Ramos|Bosque Peralta Ramos|bosque de Peralta Ramos;;
RIVADAVIA_BERNARDINO;Centenario|Bernardino Rivadavia;;
EL_JARDIN_DE_STELLA_MARIS;Jardín de Stella Maris;;
LOMAS_DE_STELLA_MARIS;Lomas de Stella Maris;;
PARQUE_MONTEMAR-EL_GROSELLAR;El Grosellar|Parque Montemar;;
EL_MARTILLO;El Martillo;;
LAS_AVENIDAS;Las Avenidas;;
DE_LAS_HERASJUAN_GREGORIO;Las Heras;;
SANTA_ROSA_DEL_MAR_DE_PERALTA_RAMOS;Santa Rosa|Monte Terrabusi|Antártida Argentina;;
PLAYA_SERENA;Playa Serena|playa Serena;;
SAN_PATRICIO;San Patricio;;
LOS_ACANTILADOS;Acantilados|Costa Azul|Mar y Sol;;
ROLDAN_BELISARIO;Belisario Roldán|Belisario Roldan;;
SAN_CARLOS;San Carlos;;
DIVINO_ROSTRO;Divino Rostro;;
AEROPARQUE;Aeroparque;;
NEWBERY_JORGE;Jorge Newbery;;
BOSQUE_GRANDE;Bosque Grande;;
SANTA_PAULA;Santa Paula;;
GENERAL_BELGRANO;Barrio Belgrano|barrio Belgrano|General Belgrano|Gral. Belgrano;;
ALFAR;Alfar;;
PARQUE_INDEPENDENCIA;Parque Independencia;;
ESTACION_CHAPADMALAL;Estación Chapadmalal;;
CERRITO_SUR;Cerrito;;
CERRITO_Y_SAN_SALVADOR;San Salvador;;
SANCHEZ_FLORENCIO;Florencio Sánchez;;
PARQUE_HERMOSO_Y_VALLE_HERMOSO;Parque Hermoso|Valle Hermoso;;
PARQUE_CAMET;Parque Camet|Parque Peña|parque Camet|parque Peña;;
SIERRA_DE_LOS_PADRES;Sierra de los Padres|sierra de los Padres|sierra de los padres|Sierra de Los Padres;;
EL_MARQUESADO;Marquesado;;
PLAYA_LOS_LOBOS;Barranca de los Lobos|barranca de los Lobos|barranca de los lobos|Playa Los Lobos|Playa los Lobos|Playa los lobos|playa los lobos|playa los Lobos|playa Los Lobos;;
DE_LA_PLAZA_FORTUNATO;Villa Evita|villa Evita|Fortunato de la Plaza|Fortunato de La Plaza|Fortunato De La Plaza;;
SAN_CARLOS;Villa de Paso;;
PERALTA_RAMOS_OESTE;Estadio José María Minella|Peralta Ramos Oeste|Peralta Ramos oeste;;
QUEBRADAS_DE_PERALTA_RAMOS;Quebradas de Peralta Ramos;;
JOSE_HERNANDEZ;José Hernández|Jose Hernandez|Ostende;;
AUTODROMO;Autódromo|Autodromo;;
DON_EMILIO;Don Emilio;;
VILLA_PRIMERA;Villa Primera|villa Primera;;
PARQUE_PALERMO;Parque Palermo;;
DON_BOSCO;Don Bosco;;
SAN_JUAN;San Juan;;
