termino;nom;tipo
 convenio colectivo;convenio;motivos
 cct ;convenio;motivos
 despidieron;despidos;motivos
 despidos;despidos;motivos
 despedidos;despidos;motivos
 despedidas;despidos;motivos
 cesanteados;despidos;motivos
 cesanteadas;despidos;motivos
 cesantes;despidos;motivos
 cesantear;despidos;motivos
 cesantearon;despidos;motivos
 echaron;despidos;motivos
 echados;despidos;motivos
 personería gremial;gremial;motivos
 personería;gremial;motivos
 personeria;gremial;motivos
 blanqueo;registración_laboral;motivos
 blanquear;registración_laboral;motivos
 registración laboral;registración_laboral;motivos
 reincorporación;registración_laboral;motivos
 registración legal de los trabajadores;registración_laboral;motivos
 registración del personal;registración_laboral;motivos
 registración de los obreros;registración_laboral;motivos
 registración de la relación laboral;registración_laboral;motivos
 registración;registración_laboral;motivos
 precarización ;registración_laboral;motivos
 precarizados;registración_laboral;motivos
 informalidad ;registración_laboral;motivos
 instabilidad;registración_laboral;motivos
 subcontratación;registración_laboral;motivos
 tercerización;registración_laboral;motivos
 precarizado ;registración_laboral;motivos
 tercerizado ;registración_laboral;motivos
 cuevas;registración_laboral;motivos
 en negro ;registración_laboral;motivos
 cooperativa ;registración_laboral;motivos
 cooperativas ;registración_laboral;motivos
 cooperativizados ;registración_laboral;motivos
 sueldo ;salarios;motivos
 salariales ;salarios;motivos
 sueldos ;salarios;motivos
 salarios ;salarios;motivos
 salarial;salarios;motivos
 remuneración ;salarios;motivos
 remuneraciones ;salarios;motivos
 remunerativo ;salarios;motivos
 remunerativa ;salarios;motivos
 falta de trabajo;salarios;motivos
 paritarias;salarios;motivos
 crisis;crisis;motivos
 critica situacion;crisis;motivos
 crítica situacion;crisis;motivos
 critica situación;crisis;motivos
 crítica situación;crisis;motivos
